ar_abnormal_residual_median,ar_early_residual_shift,ar_early_to_late_decay_fraction,ar_half_late_residual_shift,ar_initial_residual_shift,ar_initial_to_late_decay_fraction,ar_initial_to_late_retention_ratio,ar_initial_window_points,ar_late_residual_shift,ar_late_to_early_shift_ratio,ar_metric_rank,ar_metric_score,ar_normal_residual_median,ar_rank,ar_residual_shift,ar_residual_shift_abs,ar_score_minus_raw_score,ar_service_top3,case_id,dataset,fault_type,metric,movement,rank_delta,raw_abnormal_median,raw_early_shift,raw_late_shift,raw_late_to_early_shift_ratio,raw_metric_rank,raw_metric_score,raw_normal_median,raw_rank,raw_service_top3,raw_shift,raw_shift_abs,raw_shift_sign_consistency,root_cause_service,signal_retention_ratio,sum_phi
-0.9642237576318635,0.5813352465083383,,-1.6424944307141018,10.858446781519582,,,3,-1.0823987394265657,,25,-5.908589612780133,0.11466813902797668,2,-1.0788918966598402,1.0788918966598402,0.5722407057753571,False,re1_ob__adservice_cpu__3,re1_ob,cpu,adservice_load,worsened,-1,60.0,0.0,-2.0,,34,-6.4808303185554905,60.0,1,False,0.0,0.0,,adservice,,-0.2459792283438171
216908.35411423445,255470.06749337912,0.10635260528190738,228300.16024391353,81145.02500681579,,,3,230123.64395192266,0.8936473947180926,10,156.69038340145153,-13215.289837688208,2,230123.64395192266,230123.64395192266,-1568.3047427401666,True,re1_ob__adservice_cpu__3,re1_ob,cpu,adservice_mem,worsened,-1,101023744.0,5738496.0,5128192.0,0.8936473947180585,4,1724.9951261416181,95858688.0,1,True,5165056.0,5165056.0,1.0,adservice,0.04455394945416326,0.9554813547847054
2.6721874491280744,2.6626336461350726,-0.002409527363983255,2.6690493347656976,-0.017693445503573102,,,3,2.668004636233315,1.0024095273639833,2,1719.6179926126088,0.004182812894759191,1,2.668004636233315,2.668004636233315,-1355.1140236108304,True,re1_ob__adservice_cpu__4,re1_ob,cpu,adservice_cpu,same,0,96.89168574754326,93.54026956579102,94.3610887476358,1.008775035454302,1,3074.732016223439,2.66790140204777,1,True,94.22378434549549,94.22378434549549,0.9866666666666667,adservice,0.028315617492610964,0.9717433440366847
0.00010959663164751554,6.905568120787325e-05,,5.852686117197026e-05,0.002283312947085364,0.9727004296909896,0.02729957030901046,3,6.233346233643078e-05,,5,204.9075330625501,4.6754635788306964e-05,1,6.284199585920858e-05,6.284199585920858e-05,75.6180052923819,True,re1_ob__adservice_cpu__4,re1_ob,cpu,adservice_latency,same,0,0.1097824869305451,0.027006944444444403,0.0318016304347825,1.1775353002336557,8,129.2895277701682,0.0799375,1,True,0.029844986930545103,0.029844986930545103,0.7233333333333334,adservice,0.002105613113701598,0.9970250194682132
-6.849713173876658,-6.177750676441448,,-8.155234637000483,-41.749836396528785,0.8392737214767182,0.1607262785232818,3,-6.710295832969933,,20,-1.9351704987748235,-0.04183123525667298,1,-6.807881938619985,6.807881938619985,0.565959291545596,False,re1_ob__adservice_cpu__4,re1_ob,cpu,adservice_load,same,0,38.0,-4.0,-6.0,,35,-2.5011297903204195,44.0,1,False,-6.0,6.0,0.5416666666666666,adservice,,-0.0552188259313563
110604.59449653327,106096.66244056821,-0.19227392449516945,126496.28410385549,279.44687208533287,,,3,110288.36552207172,1.1922739244951694,4,1159.279648891704,316.2289744615555,1,110288.36552207172,110288.36552207172,-1519.5667400893024,True,re1_ob__adservice_cpu__4,re1_ob,cpu,adservice_mem,same,0,104898560.0,4665344.0,5562368.0,1.1922739244951712,2,2678.8463889810064,100048896.0,1,True,4849664.0,4849664.0,1.0,adservice,0.02274144466958365,0.9772585553304153
2.1111911395243226,2.1020701050570274,-0.0010048481749422855,2.104182366365695,-0.01372337537321,,,3,2.1041823663656807,1.0010048481749423,2,1669.1863674366223,0.007008773158641901,2,2.1041823663656807,2.1041823663656807,-1332.5829091997339,True,re1_ob__adservice_cpu__5,re1_ob,cpu,adservice_cpu,same,0,95.96474552192593,92.82268413549421,92.98759704799853,1.0017766445135716,2,3001.769276636356,2.9844003467322673,2,True,92.98034517519366,92.98034517519366,0.9916666666666667,adservice,0.02263039960113052,0.9774316096909157
0.00012597349389949913,8.911902717474718e-05,,0.0001020474286317144,4.351477135025594e-06,,,3,9.663986163399585e-05,,5,154.2763304240566,3.0680643279656916e-05,2,9.529285061984222e-05,9.529285061984222e-05,-0.01923735099580881,True,re1_ob__adservice_cpu__5,re1_ob,cpu,adservice_latency,same,0,0.09993778280542989,0.01893382081946536,0.024467918852319054,1.2922863845402104,7,154.2955677750524,0.08065486812655004,2,True,0.019282914678879853,0.019282914678879853,0.7633333333333333,adservice,0.004941828152370261,0.9959259636497939
-6.635504736240396,-6.47219450966848,,-4.4941280105810115,11.318476806107043,,,3,-5.747526079878654,,29,-4.938793293672006,-0.9407116528631434,2,-5.694793083377252,5.694793083377252,-0.1864536862813111,False,re1_ob__adservice_cpu__5,re1_ob,cpu,adservice_load,same,0,38.0,-7.0,-7.0,,43,-4.752339607390695,45.0,2,False,-7.0,7.0,0.565,adservice,,0.04540101491579402
186392.79108080268,181827.04040654004,-0.08886894075406127,197985.81688791513,8977.09804521501,,,3,186070.75948245823,1.0888689407540613,3,331.6984899162046,322.03159834444523,2,186070.75948245823,186070.75948245823,-1647.2006795952318,True,re1_ob__adservice_cpu__5,re1_ob,cpu,adservice_mem,same,0,104636416.0,4567040.0,4964352.0,1.0869955156950672,3,1978.8991695114364,99966976.0,2,True,4669440.0,4669440.0,1.0,adservice,0.03984862413532634,0.960151375864674
