ar_rank,case_id,dataset,fault_type,median_top3_union_ar_early_to_late_decay_fraction,median_top3_union_ar_initial_to_late_decay_fraction,median_top3_union_ar_initial_to_late_retention_ratio,median_top3_union_ar_late_to_early_shift_ratio,median_top3_union_ar_score_minus_raw_score,median_top3_union_raw_late_to_early_shift_ratio,median_top3_union_raw_shift_abs,median_top3_union_raw_shift_sign_consistency,median_top3_union_signal_retention_ratio,median_top3_union_sum_phi,movement,n_root_metrics,n_service_top3_union_metrics,rank_delta,raw_rank,root_cause_service
2,re1_ob__checkoutservice_mem__3,re1_ob,mem,-2.3969134195445108e-05,-1473.2029708169152,1474.2029708169152,1.0000239691341954,-1135.0941810229642,1.0000239683617624,80.09527424673979,0.9933333333333333,0.11631328273379923,0.8841462318786913,worsened,4,3,-1,1,checkoutservice
1,re1_ob__checkoutservice_mem__4,re1_ob,mem,-0.0018221730995704455,-248.52872037458062,249.52872037458062,1.0018221730995704,-1244.1956416579387,1.0,83.03632141176635,0.9933333333333333,0.09921486014732865,0.9010233647191077,same,4,3,0,1,checkoutservice
1,re1_ob__checkoutservice_mem__5,re1_ob,mem,3.996387265892132e-05,-1451.9657716023166,1452.9657716023166,0.9999600361273411,-1239.6684584819013,0.9999600358079161,86.12628423556329,0.9733333333333334,0.07876140382226933,0.9212392256998733,same,4,3,0,1,checkoutservice
4,re1_ob__currencyservice_cpu__1,re1_ob,cpu,0.03438360478749497,-3.958876995283575,4.958876995283576,0.965616395212505,-1048.456938219142,0.9999558743236294,91.08109269554944,1.0,0.05169567676993094,0.9415126471085802,worsened,4,3,-2,2,currencyservice
1,re1_ob__currencyservice_cpu__2,re1_ob,cpu,0.025477813173303998,-8.870332813520784,9.870332813520784,0.974522186826696,-1124.0861937547063,0.9745199384727038,90.87003231466409,1.0,0.02562930293090117,0.9610229361317223,same,4,3,0,1,currencyservice
5,re1_ob__currencyservice_cpu__3,re1_ob,cpu,0.02126608325792989,0.9879561385793112,0.01204386142068885,0.9787339167420701,-1173.8989323657652,0.978700881937324,95.61515359952779,0.9833333333333333,0.03850330940464329,0.937082254916856,worsened,4,3,-2,3,currencyservice
3,re1_ob__currencyservice_cpu__4,re1_ob,cpu,0.018483543450997286,,,0.9815164565490027,-1067.304692593722,0.9816821879453419,95.09454824584029,0.99,0.032881841759881694,0.9539444803958598,same,4,3,0,3,currencyservice
2,re1_ob__currencyservice_cpu__5,re1_ob,cpu,0.009498690359214357,-9.111446920536505,10.111446920536505,0.9905013096407856,-618.3418382390771,0.9905765173492027,51.2783822794529,0.7983333333333333,0.030841186913652757,0.9689607482195626,same,4,4,0,2,currencyservice
1,re1_ob__currencyservice_delay__1,re1_ob,delay,0.039904193894544915,-1025.1058177525088,1026.1058177525088,0.9600958061054551,-19.59534514087818,0.9398398363523637,0.8896163434559803,0.9778393351800554,0.5685135547241182,0.033318019567091,same,4,3,0,1,currencyservice
2,re1_ob__currencyservice_delay__2,re1_ob,delay,0.2279109291040674,-0.34341052545960515,1.3434105254596052,0.7720890708959326,-12.212765163794188,0.7262680546275493,0.4161973720869323,0.8005540166204986,0.5795610861673938,0.11458180860770581,improved,4,3,4,6,currencyservice
1,re1_ob__currencyservice_delay__3,re1_ob,delay,0.12726139986231638,-3360.0845353276577,3361.0845353276577,0.8727386001376836,-23.638498625100056,0.8682490250094068,0.7690015844603799,0.9750692520775623,0.6466394647885235,0.002554946006371181,same,4,3,0,1,currencyservice
2,re1_ob__currencyservice_delay__4,re1_ob,delay,-0.005087647268216533,,,1.0050876472682164,-97.50353079144543,1.0310773286131905,0.832356343314939,0.9944598337950139,0.3547552095501046,0.5463124799366147,improved,4,3,2,4,currencyservice
3,re1_ob__currencyservice_delay__5,re1_ob,delay,0.013929616304477033,,,0.9860703836955229,-62.04974689256687,0.9907835582985473,0.803978866378122,0.9833795013850416,0.3145539870449532,0.6322405046557296,same,4,3,0,3,currencyservice
2,re1_ob__currencyservice_disk__1,re1_ob,disk,-0.029289604005454994,,,1.0292896040054549,-31.95652009559194,1.0304532653085952,8.267502759724227,0.9889196675900277,0.3785226448666967,0.7997879204225535,same,4,3,0,2,currencyservice
1,re1_ob__currencyservice_disk__2,re1_ob,disk,-0.012644684953806662,-19.266314600665346,20.266314600665346,1.0126446849538067,-195.78010193908688,1.0125978395746296,8.311988451753942,1.0,0.246052303382169,0.7539390436371766,same,4,3,0,1,currencyservice
1,re1_ob__currencyservice_disk__3,re1_ob,disk,-0.0019163336628347238,,,1.0019163336628347,-263.0732354841135,1.0020335111587058,9.633238515116094,0.997229916897507,0.3290189174632054,0.6715698401286974,same,4,3,0,1,currencyservice
