case_id,dataset,fit_fraction,fit_samples,pseudo_samples,prior_name,ar_order,n_metrics,n_scored_metrics,metric_failures,median_metric_log_bf,p90_metric_log_bf,max_metric_log_bf,positive_metric_fraction,strong_metric_fraction,n_services,median_service_log_bf,p90_service_log_bf,max_service_log_bf,positive_service_fraction,strong_service_fraction,top_service,pre_unstable_metric_fraction,post_unstable_metric_fraction,shared_unstable_metric_fraction
re1_tt__ts-travel-service_disk__2,re1_tt,0.6,216,144,strong,3,1445,1445,0,-34.592000809903084,6.139407677870862,4855.934788848078,0.10795847750865052,0.10519031141868512,72,51.15343938984287,244.82142631023902,2298.2821470965287,0.7638888888888888,0.7222222222222222,ts-security-mongo,0.008996539792387544,0.008996539792387544,0.006228373702422145
re1_tt__ts-travel-service_disk__3,re1_tt,0.4,144,216,weak,3,1445,1445,0,-16.91872022331576,10.390522007642144,3735.6196446740732,0.13217993079584775,0.12249134948096886,72,39.428305787973386,1340.876388186951,3728.641831024956,0.7638888888888888,0.75,ts-payment-service,0.01730103806228374,0.010380622837370242,0.010380622837370242
re1_tt__ts-travel-service_disk__3,re1_tt,0.4,144,216,reference,3,1445,1445,0,-16.94530557095456,8.880220665097022,3689.671702973995,0.1314878892733564,0.11903114186851212,72,31.677169313622148,1324.7818370008686,3682.6948431339515,0.7777777777777778,0.7638888888888888,ts-payment-service,0.01591695501730104,0.010380622837370242,0.010380622837370242
re1_tt__ts-travel-service_disk__3,re1_tt,0.4,144,216,strong,3,1445,1445,0,-32.63126741182473,0.7496392810029557,3601.332174884801,0.10449826989619378,0.09204152249134948,72,26.33475276262834,1279.9956481673587,3594.3609115929344,0.6666666666666666,0.625,ts-payment-service,0.01314878892733564,0.009688581314878892,0.009688581314878892
re1_tt__ts-travel-service_disk__3,re1_tt,0.5,180,180,weak,3,1445,1445,0,-17.257414879405246,12.688998283309886,4716.261219633418,0.13633217993079585,0.12802768166089964,72,29.179603096740074,1277.4796610163585,3511.4884021904104,0.7083333333333334,0.6666666666666666,ts-ticket-office-mongo,0.011764705882352941,0.009688581314878892,0.010380622837370242
re1_tt__ts-travel-service_disk__3,re1_tt,0.5,180,180,reference,3,1445,1445,0,-17.572024120255662,9.337923432874213,4657.858968009373,0.12525951557093426,0.11833910034602076,72,30.313714116230756,1258.0195668027122,3453.0893946863384,0.7083333333333334,0.6666666666666666,ts-ticket-office-mongo,0.011764705882352941,0.009688581314878892,0.010380622837370242
re1_tt__ts-travel-service_disk__3,re1_tt,0.5,180,180,strong,3,1445,1445,0,-34.696292736697444,1.4882300528547148,4544.695153007604,0.10934256055363321,0.09550173010380623,72,19.62368927675078,1219.0284195689976,3339.9444447863043,0.6527777777777778,0.625,ts-ticket-office-mongo,0.008304498269896194,0.007612456747404845,0.009688581314878892
re1_tt__ts-travel-service_disk__3,re1_tt,0.6,216,144,weak,3,1445,1445,0,-17.092857820375254,9.447199434436158,5704.179850904962,0.1301038062283737,0.12249134948096886,72,46.86601681785182,1431.1780380057671,4255.131965092979,0.6944444444444444,0.6805555555555556,ts-ticket-office-mongo,0.004844290657439446,0.009688581314878892,0.010380622837370242
re1_tt__ts-travel-service_disk__3,re1_tt,0.6,216,144,reference,3,1445,1445,0,-17.792190100438745,7.916199645794726,5633.283151624968,0.1301038062283737,0.12041522491349481,72,43.991137487376776,1407.1561527685074,4184.243954472609,0.7083333333333334,0.6805555555555556,ts-ticket-office-mongo,0.0034602076124567475,0.008304498269896194,0.010380622837370242
re1_tt__ts-travel-service_disk__3,re1_tt,0.6,216,144,strong,3,1445,1445,0,-35.53496232271931,2.280856735244398,5495.063411494395,0.10934256055363321,0.10034602076124567,72,26.219029242370624,1364.5003388321627,4046.0741140567175,0.6666666666666666,0.6527777777777778,ts-ticket-office-mongo,0.004152249134948097,0.006228373702422145,0.008304498269896194
